address,amount
juno1g4wgc6nyt2v92khzpz7nt9wmxta9vk3lqxx0xg,600
juno1y5ts0p3yas9lscru9m2xuhx97k4ylqcpfmr8ef,600
juno1u4xt99s8up4dhryelferxzv4v4s7mcjgfzywd5,600
juno15mgyw5hmzv43jw6j4nyarvgrc52kxdxjet280j,600
juno1tr93sy694jjz0ljl4h7lkhggfk5pw4y423v7zs,600
juno18havg00wwkqs7q62dz00xaus7kufx7r2v9fhee,600
juno1quqwualf22e8z79esvwl57c2s8jq2cl53rh0ch,600
juno1w58qtgajuuq675a96n5gjjlsmchvxulz494pfh,600
juno16wwvq2jpezc43qzym8yd9p2s8yz5h9k8cjw00n,600
juno1rcuft35qpjzpezpg6ytcrf0nmvk3l96qslzqxt,600
juno1eday6n73ukdtawaagywtu4td2z3syyzqweve30,600
juno1y854tjqh9tatr0vs8nsks59u2q5g7eufjcuxc0,600
juno12fzt3n7tuv2wcekk43mfyaxjd2p3v475cz84m7,600
juno1z2q2tppauanmkkxaf8a8whd3793w3d30x94xmr,600
juno102dsxewzf8egvxr3els5tjqmvp5ql367tdae0e,600
juno19m0fd872k3clqldudx6lrvpll50q5l3gw39xd8,600
juno1xwszhh663ymaup824ufcr0d33v6jqznzhvn6x2,600
juno153ch6f0ufg4tc9uz97n5ty6tff5wma2qumqk6m,600
juno1y0au0pq44nwgspzqm4lv8e3guzs7k7glyp7x28,600
juno1pgjxruuw9w8tts46v4kw0aqr6403awaua3u9js,600
juno19evhxfxffzan57ew38kuduumffl8jas9x83fle,600
juno1l2ky7u2lyncl20m6ffmzngus7wjjkgyv3r57se,600
juno1yw8r46euhejzg6wkr43fgs8rf9n3fy49w45snw,600
juno1hzflfqz6xjqwtz6wslx0lyudxau5sanus4zcsp,600
juno1d7hs6nzw09yn7cwta9sr28m455whtfmejn7t9w,600
juno1t86aeukg8jt0f7krrtxkns9ug5660gql7a5k0g,600
juno1f2hq4jqh3e5tpdkndn3fp72svt04csts8hrs2h,600
juno107pxmjzhctv85xks4kfqy52axac9mjtdyctv4q,600
juno13stlpl9g6m20d6724wq7tuxkvy6ae2e3z4vqpj,600
juno1j4ht7ph4qldtx46jm2vqj3hj7x970njel992je,600
juno12vk9jl5yvsqnv2lh6e5cfzzxh632q9rfn9jx04,600
juno1fyh0ceqpa3zfztg9fvhky002vevkyj42rvaf2t,600
juno16qq54gvwl9rzstece36efy2d8ae6c4qwsqqynu,600
juno1msvzdy8y262s55tf2ka08zn04lv7hrcd2glm63,600
juno1xecag9jyhzkyn7sn37pa0tu36c769yykz7w8ur,600
juno1m5ac990eghashx9d22d2a4w3484ahr7p0f4e8x,600
juno1s6dysv4hx0a5xue40m5jpvxgx7d895h5snrrj6,600
juno164dnvx6ut5cvs9lk5latehp7uy2dnx7x2lgd3x,600
juno1azqz36737r763rxsvn4hvkr4mcdhydm09n7lwp,600
juno1ccfqff77r5v9ahpt8us46asrwr9s33skja38np,600
juno10xgt4nknahr3mwxa3s9ncsmk5smuqmhtdh3mkk,600
juno1mnu35v9vs64ygmyxum6svs5gx66ez2qzdpadmf,600
juno1eh4276v0k2ha6u3nl7grl5q9vfkp5quuhhlpzl,600
juno1klr9hkk5lv9m6uwgtsj86w7ncaul8e0rc4957e,600
juno1w25ptn40xppqkluxk5zkzc7khsl9n3w84lwqp4,600
