address,amount
juno1l236pmnwe5q9fmxfdlah5f9j3y3lxy926zc6kc,300
juno15hxq8y8w6hwpjxxzqk63uh97258jv2xd4yqg6c,300
juno1gnh70uzvmgsn7fxx6afn0f2338cxrdx6jc3jaj,300
juno1h6p45cmmkc77p2kx0zwm5hpdd69el5rtt7tkj5,300
juno1ate5nqvum46uk2k3ta27e7yr3fgskqll7k6272,300
juno1kzgq8njwvhl2y05ac9w7hp95l7fnjll2wasnr2,300
juno1tyyqm3agxuncfznrv4z6ff489rx0vq7c42rg48,300
juno1s8ncf0yqhvx24u4v5euw2pv7pvzmz7crcnk8sg,300
juno135fht496a7efwxedldzeukjrguwg42uqlekuhs,300
juno1gr0zryw5h0kmxdj24yh3t0y8c4xfel27gsw6ml,300
juno1xm7lau0vas7elyxuyx9e6q4pg0uh3fwyd4qygm,300
juno1m4tqkvw22zgl4w9nyzfeyccnk696r6w7aslk9z,300
juno1cy04egyn7rfvsjnnd5f0humq29na22gghxkes5,300
juno1gj73ryha8d3l3cz76npcake9w8g05sjc38tml9,300
juno1g6kgezxak50lpjar63jkqfzr8n8vh0wqs35ssn,300
juno1l6rcvtkv9kf7xtksc4se0h27gnr4xwaye5pznw,300
juno18x33kwxnexlz884d38p2hk24patq4pjspre0q5,300
juno1zqp70nhzlhw4uy3cy5alv07ztq4ks0f8a5q3e7,300
juno1waakw07nlsah0pvt5dwslhkjvqffhfmr99c5fr,300
juno1zp7cnj77mr0wefth7um49lc0nyqz5q9fgs2y6e,300
juno15hz829wam3wc3k9jlhdrwwdl93050k29c3fjf2,300
juno1jrdnxle2qq4p2getpf7ttqq7dqf0et9e7sc3v3,300
juno1pg0lfu3t045qj76k59kfj24xvdv8d4g9mnx677,300
juno1rdr4gvunlyze4zawam94djnm3h2gmlgcpqfgte,300
juno1ht7mzvj64s2wxr66yezh7l0h474rt3w933s53r,300
juno1fpasqaze27syq96kp986kjrug35vshg2ezsw60,300
juno1cr76fzj9rcaj5n6s9xq0acye7m9ycrj269t9xl,300
juno14q809c4fhnvqktpeef4nz8lk7hgsqxwj54yd7c,300
juno1hy93akvmprl34526xexakxwefya0s7c46mdv7h,300
juno16x03wcp37kx5e8ehckjxvwcgk9j0cqnh9wt642,300
juno1p0thdn96qx07veretqvae7ugnxsgfcx49l43k8,300
juno1v0sgf2mev5k6ad5zd2a59jc9vwjtgpw87m8ev3,300
juno16e2ppfuazahdkfz8whmwasws744cdhlck5z5ww,300
juno1hkc60hljvjdxvxn58mreyf8g0darmngtuqf830,300
juno130lcj6xtxm3tej7z3dnr5pv5uaauxqgj5se4f5,300
juno1hmzk8ngj5zx4gxt80n8z72r50zxvlpk8kpqk6n,300
juno1edu5sfe26mcx2lm3andplnjdwn4v4yfgxq2xsg,300
juno1p797fnevhd88e3kh73fu55us66kpnrat5uxa8s,300
juno1ahannsepkam057pkelu69mar3gkjcnvd0l4ea2,300
juno1jnzqc9c5fxfmmdttftaw92ada4wgepkm9e4y0s,300
juno1vfga73yc98melxja48z6l6me9y8plcf2kke430,300
juno17n2nky925lata276vfq5v77rncxgwwhy25aanx,300
juno1lvz2p9r8dpzehgc50am4cc6n5vw8ses509n2ke,300
juno12gyadyzlar4pp5nsgmfadf28td7tjkwkshlhhw,300
juno1l5a2jqe6f9v8xtxa0rrk6kjmg84t2latqkq4sg,300
juno1qd3c47km4qvnua747ryklypmrp6y2hqpap56l7,300
juno15r9z6xwnahpt4a7akhjfhupc36xn9qwsha9jyg,300
juno1qz5hvdmn7ery6up73gq964jc52qamq9efkjaeu,300
juno12jpf5yducxnd0dms3sxlgcsjejhj6gghjz59m8,300
juno18jchz8rca0ajvrq35g9qcf055r77utxx3vklel,300
juno19dx6xr5pqg83f45d43xfsuczvnlk37w8v9zsdu,300
juno12usue8q9w5mmvuteh0k40h0zzutlm9k0xc2k2y,300
juno1c7khxslxeh0dkt8j6xysxajyxm4uqq97l7k3xr,300
juno1cn4qh4jj0zyw6uspn62my4g6n9unw87ptc8r76,300
juno1c2zunjn7ynp7qtz0xf5j83pmgl9vwrx8kxsjvp,300
juno17s7emulfygjuk0xn906athk5e5efsdtumsat5n2nad7mtrg4xresyxnafa,300
juno18xhs7tmx833m36y7gvq9y4pqtymuu9xa7m9jkf,300
juno1825r86vpjva4k2f66p6mzeaxj8s72h3guksfs9,300
juno1ufvcwvzcfzm3ft4u54kweuy8y9zz3llr2nfh4n,300
juno1rc4c06u8w8dm2x56420m4nfh95yg07v98p80nd,300
juno1323790xwgfyg0qs694s9c5rfzq376vvh0jscfd,300
juno1kafr4aqw7n6vdpuaqtpysvhm4ljjd6xnygdfzq,300
juno160cwt8p8wudnpzcyjzkacguh7vfwya67pjk203,300
juno1zgae7hdpj5mcvgxphdjr66ykdnn4g3eddwhhsg,300
juno13x9ckwpcpxjkswuuwdtde9een9jw9kdper5mne,300
juno1typ45xcrpnlt2j5rzc8pmhfp4u6pglm0744fvj,300
juno1cegn6yls7hxmln0whel37v4vlau5jz72jhr2mn,300
juno1pluvppw3973qkk5rt8w0mmdsqx03hy6xpw9j64,300
juno1u7qw4q44un3cuy2pxm9hw088fp580fzavxwsx0,300
juno12eedqrmxxsx4s26yzeqs36se5dwwg2tcgx0qkg,300
juno1s85kaf9ptdlxt92c604ehkkyt2fx0xlwwp67fl,300
juno1jxjzdt7dp90ajwt2j3dv43v0pnm8gcxtw6ms6y,300
juno1wdcluawcq62g7m6332ykyr6vpqajlq3da95vqj,300
juno1udz95dyzm9crjsyrm6ezm3gca44l8wk3rndnz3,300
juno1t8tkacesxw6n7g9sq8y9yra95wzpt4d2a8dl7k,300
