address,amount
juno1cpapj25cdx0x7d6dvu2kaqs8eg0elzqfya2yl9,400
juno1f9cz2nefyfr2c9wjvkyzkuddn7x5fjlhgz6kaq,400
juno1z8zyckttkkgtp9s2vdyc8hd5nu4x6keurmxv7m,400
juno1an7f7d9fq7dg8rl9h3st8wa9v2z88tfppdesgh,400
juno1ncwxajpyv73a0pzgf7ak3yc2ngcsqlr3h3fg40,400
juno187wy2grtqlxpp6j3gspyaej3c58efargd8p2fz,400
juno1g6va0zvemdqzh3wx2hzr0328v4ermxk7wwzheu,400
juno13pdu3lla3jcs4r2ntwmdtewk4vhnaa8w6z386c,400
juno1v462epq95lxqgqrcqv5s5pe924tgv2xpd2ud82,400
juno1agvjhfqzy266h0pmvdxl8dvhyrmwmwj5drg9w8,400
juno15yz08m6kd5ssg8qlzwmsf2h5dc3p6x4qrwzdhu,400
juno1mr99n8jl9qqdjee6qj88dgw20rg5gl9y9lc8e6,400
juno1tc7f8dkyucn2cmvx6npsrfnfqt6dgvp930wx0z,400
juno1auetgqqsdzt0h8ws6kl8f9tx7fhx9u8uxct376,400
juno16l0x9xu840u06qrph5n393ru3sc37l0hj5a20n,400
juno1r2gphsxrxr8kxul58taqgmzn7n4yqdug2dwrrv,400
juno1cn52lzf28w5ed6xanqu87xwfm0nxaeh3j9s94j,400
juno1njsthsamgkzdqqg4awj7y6rxtuk3q26t5zhsuy,400
juno1wph6zm4y03luc9y69shu7hf886lezxnvlsxx8q,400
juno1pysevf4400h5s8a2mqucaed3awvje3t4kzgny5,400
juno1qthhthjy68k4z8cjml95zq36jfsdxj83sl7plq,400
juno1tk062ueryn03wecn84k7wssmx7xmxt26jm6txp,400
juno1h8n4qh8u66psn6jf55vtq232rhjkr6wxm0hv3c,400
juno1jy34s0fnzw5v4s7xnkz795ewrah3ycydf6whjn,400
juno1az0f6dhncud2ku4smyp0vz38fyhgtd4jllwl04,400
juno1uje8h0es82xyl62w5hcrvur58hzgv5mwlkjl9f,400
juno19e3lcuv452a99pthwapm56uqgj4jwc87ksthzd,400
juno1dpta4rhzqy3dr2dex0cw0gr6aqw5wdvtxp7d6f,400
juno1j50w4vk02a9nscxpf99jez69gl6sqwxcrkn909,400
juno15ma0kvf0pw4gtaeku8sas5nt7qvw8063wntnru,400
juno16l4xzrmudr3fakwda7ufdkwyjdukdvszu3j337,400
juno1n0mawt94heyh7ruyk8euyrn42nuu4gr7qr2y52,400
juno1sgtkl53fvgjnscahnpknaf6dxxe6cutvkst7t4,400
juno1py4wyc4g3my0v6tl3yyhh28kyfq9mqar9cgdzu,400
juno1lzed3f2tp0xty2w55ytlumv0p732dgr7a4e44d,400
juno19k5zgwukrchkah44c528dktt3vs2zekecdptvg,400
juno16n8lenw76ygcj53qcj5px28383s0j7a7cwlxxr,400
juno1nztdgv0545srvxkm2aphcfc0esgvt0zgyguv8y,400
juno1p0qgznl2fwtmx3jqnua793ppwnq5jwf2jc9u5y,400
juno133cvats2ywavsnarrtkvmayvexpnl6f90hmdrp,400
juno17e3444h2nfjrw8zge64tx7s86vuvp7kx2jkhcm,400
juno1snsgt23xqr0s7ynzxqesyysc7p6jmja88eyn6k,400
juno1k6x0l6x2tkz7ha66m2fxx325ef9ehh063ylup4,400
juno1nxnnr76g9q0hufnyy6kmzuj05r5sz2p3q4ff3f,400
juno1qsksnh5tvnd4ujrf8q6huw4uehc3npxmc6rhml,400
juno1uczwdw0va2a859mlurhkqlj3dr2ly0grtfmxz8,400
juno12aaxu76p79jjkyxwut0yts5gkux06jfsnmlusp,400
juno1dw63qcgl0exnasauupvtfz8mdtm3kjxng7rsw6,400
juno1audssc6c4zla656gul3vkrw5j6gnvm5n3nq2aj,400
juno10a7q90f67z3y0gy8hnr5s89x98ts6qh3awl489,400
juno1jxc7ph07y83qwsn4gud25rv7srhkdxt02rzpw3,400
juno1gj2n5wjnmr6fnd56ujkk6cje5nzqks95aa407e,400
juno1rt56usjuqf4feae54vjqw40gxxksefu3ajmr8m,400
juno1p5kvg9pjv3jhtlhvezs8k69d3vt8mhpj38v7gp,400
juno1s484tspagjdw5zw03nc5rg8fc6gw5r6rpmng32,400
juno166jxmsf24hgdn9xcjanemwvkf3d6e0gmwp9jy8,400
juno144j3gyr37hg3jk548xy3yll9ludj5uxm937yak,400
juno1hweykrmnzxv8hmkz9hr92rzramkjducecmsmfa,400
juno1074c8an6aps829sx9h36m674ky4d8jluytvr65,400
juno1nj3cdral67qrxq8l8m5eq5fmx84l5mmjfwxzkt,400
